Function (Entry Address),Call Count,Inclusive Time (Cycles),Inclusive Time (%),Exclusive Time (Cycles),Exclusive Time (%),Avg. Cycles,Min. Cycles,Max. Cycles
[Reset],0,61668102,97.08,184182,0.29,0,n/a,n/a
PRG: $105B,1979,23473516,36.95,8057106,12.68,11861,11689,12017
PRG: $0363,1979,20096787,31.64,18375570,28.93,10155,901,29720
PRG: $2268,29925,9166850,14.43,6680496,10.52,306,306,1203
PRG: $22E9,24924,5315432,8.37,4162588,6.55,213,210,1083
PRG: $2323,98950,5145400,8.10,5145400,8.10,52,52,52
PRG: $0D5D,1979,4804977,7.56,850674,1.34,2427,39,7911
PRG: $0CB3,1979,4758290,7.49,785426,1.24,2404,22,5284
PRG: $12AB,1979,4547742,7.16,1965147,3.09,2298,2298,2298
PRG: $2380,71664,3295075,5.19,3294211,5.19,45,44,915
PRG: $2291,29925,2483775,3.91,1197000,1.88,83,83,83
PRG: $2358,55061,2420335,3.81,2416035,3.80,43,43,915
PRG: $02AB,1979,2044307,3.22,2044307,3.22,1033,1033,1033
[nmi] PRG: $00C8,2133,1854573,2.92,1383180,2.18,869,859,874
PRG: $04C8,1979,1232917,1.94,53433,0.08,623,623,623
PRG: $237E,24684,1180714,1.86,1167811,1.84,47,46,921
PRG: $0488,1979,1179484,1.86,1179484,1.86,596,596,596
PRG: $1974,1979,1162058,1.83,610757,0.96,587,207,6200
PRG: $1F42,1979,1092965,1.72,908918,1.43,552,552,553
PRG: $02CB,12499,1048788,1.65,1012671,1.59,83,81,952
PRG: $07D9,2133,471393,0.74,430866,0.68,221,221,221
PRG: $23B4,5376,430080,0.68,430080,0.68,80,80,80
PRG: $21CD,12499,305172,0.48,300011,0.47,24,24,895
PRG: $0FA4,84,262559,0.41,35155,0.06,3125,1139,4138
PRG: $2100,5800,261000,0.41,261000,0.41,45,45,45
PRG: $2171,2969,142512,0.22,142512,0.22,48,48,48
PRG: $22A4,212,112446,0.18,103330,0.16,530,280,730
PRG: $14BD,490,64093,0.10,20712,0.03,130,126,135
PRG: $14AD,980,63247,0.10,38615,0.06,64,62,71
PRG: $2158,2413,50673,0.08,50673,0.08,21,21,21
PRG: $21C0,1979,47496,0.07,47496,0.07,24,24,24
PRG: $236A,1660,42400,0.07,42400,0.07,25,24,28
PRG: $0AF5,2133,40527,0.06,40527,0.06,19,19,19
PRG: $04D3,1979,27706,0.04,27706,0.04,14,14,14
PRG: $2147,556,22240,0.04,22240,0.04,40,40,40
PRG: $2162,556,16680,0.03,16680,0.03,30,30,30
PRG: $21E9,186,11416,0.02,11416,0.02,61,57,62
PRG: $225B,719,9315,0.01,9315,0.01,12,12,13
PRG: $218A,414,7135,0.01,7135,0.01,17,17,18
PRG: $2139,212,6996,0.01,6996,0.01,33,33,33
PRG: $21DA,106,2544,0.00,2544,0.00,24,24,24
